phase,method,dataset,N,d,centers,std,noise_frac,seed,backend,n_splits,splitA_pos,splitA_size,chunksize,knn_eff,fit_time,ext_time,total_time,n_obs,ari,ami,slurm_job_id,slurm_cpus_per_task,slurm_node_list,hostname
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,3.316751718521118,0.0,3.316751718521118,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.12278509140014648,0.0,0.12278509140014648,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.03231406211853027,0.0,0.03231406211853027,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.08525776863098145,0.0,0.08525776863098145,-1,0.7203868260100619,0.8655286660050125,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.11128592491149902,0.0,0.11128592491149902,-1,0.7203868260100619,0.8655286660050125,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.42034387588500977,0.28539514541625977,0.7057390213012695,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.19983291625976562,0.2527756690979004,0.452608585357666,259,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.0970921516418457,0.26262879371643066,0.35972094535827637,255,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.04373621940612793,0.22971367835998535,0.2734498977661133,243,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.40279078483581543,0.2795281410217285,0.682318925857544,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.19546890258789062,0.25368785858154297,0.4491567611694336,259,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.08714771270751953,0.2600736618041992,0.34722137451171875,255,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.044298410415649414,0.24901294708251953,0.29331135749816895,243,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.40642666816711426,0.2869868278503418,0.693413496017456,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.19266295433044434,0.26077866554260254,0.4534416198730469,259,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.0881967544555664,0.29625797271728516,0.38445472717285156,255,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.057431936264038086,0.253110408782959,0.31054234504699707,243,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,1.230269193649292,0.0,1.230269193649292,-1,0.9999000020000001,0.9997462143632678,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,kmeans_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.028357744216918945,0.0,0.028357744216918945,-1,0.9994502085694134,0.9988499459813086,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.03007364273071289,0.0,0.03007364273071289,-1,0.9994002120735889,0.9987230537800077,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_joblib,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.08498668670654297,0.0,0.08498668670654297,-1,0.7195597487365154,0.8650592694724638,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_dask,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.09302878379821777,0.0,0.09302878379821777,-1,0.7195597487365154,0.8650592694724638,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,seq,2,0,25000,2000,5,0.4044990539550781,0.2738783359527588,0.6783773899078369,262,0.999949998499875,0.999873106560158,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,seq,4,0,12500,2000,5,0.21695709228515625,0.28965187072753906,0.5066089630126953,260,0.9998000090034004,0.9995333866827281,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,seq,8,0,6250,2000,5,0.08841300010681152,0.2619781494140625,0.350391149520874,255,0.9998999969999001,0.9997462131201583,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,seq,16,0,3125,2000,5,0.04355883598327637,0.2543914318084717,0.29795026779174805,240,0.9996000930223992,0.9991184671430389,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,joblib,2,0,25000,2000,5,0.40110182762145996,0.2745931148529053,0.6756949424743652,262,0.999949998499875,0.999873106560158,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,joblib,4,0,12500,2000,5,0.19311046600341797,0.2629506587982178,0.45606112480163574,260,0.9998000090034004,0.9995333866827281,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,joblib,8,0,6250,2000,5,0.08703160285949707,0.2639141082763672,0.35094571113586426,255,0.9998999969999001,0.9997462131201583,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,joblib,16,0,3125,2000,5,0.04484105110168457,0.2581601142883301,0.30300116539001465,240,0.9996000930223992,0.9991184671430389,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,dask,2,0,25000,2000,5,0.40561532974243164,0.27689671516418457,0.6825120449066162,262,0.999949998499875,0.999873106560158,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
